player_id,level,is_completed,prize
volatile-dirt33,Level 10,False,Common Prize
tall-bait330,Level 7,True,Rare Prize
wary-current657,Level 25,False,Rare Prize
past-chess681,Level 11,True,Common Prize
aberrant-cabbage504,Level 1,True,Rare Prize
aberrant-cabbage504,Level 4,False,Common Prize
witty-bottle148,Level 9,False,Rare Prize
witty-apparatus620,Level 1,True,Rare Prize
sudden-canvas472,Level 30,False,Legendary Prize
incandescent-air398,Level 12,True,Rare Prize
tall-bait330,Level 2,False,Common Prize
tall-bead458,Level 15,False,Common Prize
vivacious-deer925,Level 6,True,Common Prize
aberrant-cattle337,Level 4,False,Common Prize
hollow-craft478,Level 21,True,Rare Prize
glib-bottle405,Level 17,True,Common Prize
incandescent-air398,Level 26,False,Rare Prize
wary-air779,Level 24,True,Rare Prize
well-off-cup317,Level 17,False,Common Prize
quixotic-canvas507,Level 8,True,Common Prize
shocking-bead400,Level 20,False,Rare Prize
glorious-education687,Level 10,True,Common Prize
sudden-dirt342,Level 1,False,Rare Prize
wistful-canvas589,Level 17,True,Common Prize
glorious-education687,Level 23,False,Common Prize
glib-bottle405,Level 24,True,Rare Prize
responsible-education541,Level 19,True,Legendary Prize
wonderful-advice544,Level 17,False,Common Prize
vivacious-advice329,Level 21,False,Rare Prize
wary-cattle953,Level 17,True,Common Prize
hollow-bottle150,Level 21,False,Rare Prize
zealous-cabbage77,Level 21,True,Rare Prize
tall-bead458,Level 21,True,Rare Prize
wary-art863,Level 20,False,Rare Prize
aberrant-current175,Level 20,True,Rare Prize
redundant-ball989,Level 4,True,Common Prize
responsible-dinner444,Level 3,True,Common Prize
plastic-afterthought250,Level 10,False,Common Prize
hollow-air854,Level 27,False,Rare Prize
salty-cast115,Level 4,False,Common Prize
aberrant-afterthought151,Level 20,True,Rare Prize
witty-bottle148,Level 20,False,Rare Prize
tall-cup442,Level 27,False,Rare Prize
redundant-crook375,Level 7,True,Rare Prize
well-off-camera620,Level 13,False,Rare Prize
vivacious-bait536,Level 1,False,Rare Prize
hollow-canvas378,Level 15,True,Common Prize
aberrant-afterthought151,Level 6,False,Common Prize
glorious-dust939,Level 24,False,Rare Prize
plastic-dime484,Level 14,True,Rare Prize
wary-current77,Level 8,False,Common Prize
shocking-development368,Level 25,True,Rare Prize
witty-apparatus559,Level 24,True,Rare Prize
well-off-camera620,Level 30,True,Legendary Prize
hollow-air854,Level 30,False,Legendary Prize
wistful-canvas589,Level 5,True,Common Prize
sudden-canvas472,Level 8,True,Common Prize
wary-attack73,Level 10,False,Common Prize
redundant-cast954,Level 13,False,Rare Prize
aberrant-attack550,Level 1,False,Rare Prize
volatile-discussion917,Level 30,True,Legendary Prize
wistful-animal921,Level 23,False,Common Prize
responsible-development185,Level 13,False,Rare Prize
aberrant-carriage344,Level 2,False,Common Prize
volatile-dirt33,Level 24,True,Rare Prize
stupendous-education796,Level 24,False,Rare Prize
stupendous-current947,Level 26,False,Rare Prize
redundant-bottle116,Level 11,False,Common Prize
witty-cast223,Level 23,False,Common Prize
aberrant-carriage344,Level 6,False,Common Prize
glorious-coat266,Level 2,False,Common Prize
sudden-bead438,Level 21,False,Rare Prize
hollow-deer227,Level 2,False,Common Prize
aberrant-deer94,Level 29,True,Rare Prize
incandescent-account865,Level 30,True,Legendary Prize
witty-bottle148,Level 24,True,Rare Prize
wary-direction54,Level 7,False,Rare Prize
wistful-animal921,Level 11,True,Common Prize
salty-cricket638,Level 10,True,Common Prize
zealous-direction22,Level 1,True,Rare Prize
incandescent-development104,Level 3,False,Common Prize
hollow-discussion316,Level 11,True,Common Prize
stupendous-afterthought796,Level 10,False,Common Prize
stupendous-education796,Level 18,False,Common Prize
volatile-attack406,Level 1,True,Rare Prize
incandescent-direction272,Level 19,True,Legendary Prize
shocking-chess994,Level 28,False,Common Prize
wary-credit390,Level 28,True,Common Prize
glib-cart503,Level 18,False,Common Prize
aberrant-carriage344,Level 26,True,Rare Prize
redundant-camera167,Level 21,False,Rare Prize
vivacious-attack680,Level 28,False,Common Prize
hollow-canvas378,Level 25,True,Rare Prize
wistful-bait463,Level 13,False,Rare Prize
redundant-bottle116,Level 30,True,Legendary Prize
wistful-bait463,Level 28,False,Common Prize
glorious-development98,Level 15,False,Common Prize
quixotic-canvas507,Level 14,True,Rare Prize
shocking-cast106,Level 11,False,Common Prize
incandescent-cast378,Level 28,False,Common Prize
bent-credit188,Level 20,True,Rare Prize
glorious-cheese21,Level 17,False,Common Prize
incandescent-development104,Level 8,False,Common Prize
vivacious-air780,Level 25,False,Rare Prize
wretched-cart637,Level 25,False,Rare Prize
vivacious-advice329,Level 20,False,Rare Prize
plastic-dinner508,Level 15,False,Common Prize
wretched-direction504,Level 10,False,Common Prize
volatile-attack406,Level 18,True,Common Prize
volatile-cricket73,Level 15,False,Common Prize
redundant-bottle116,Level 26,False,Rare Prize
witty-apparatus620,Level 29,False,Rare Prize
wistful-animal921,Level 4,True,Common Prize
stupendous-canvas458,Level 30,True,Legendary Prize
quixotic-bottle689,Level 20,True,Rare Prize
wretched-cart637,Level 16,False,Common Prize
glib-cart729,Level 26,False,Rare Prize
wonderful-direction158,Level 9,True,Rare Prize
hollow-development818,Level 6,True,Common Prize
incandescent-canvas721,Level 13,True,Rare Prize
wistful-animal921,Level 10,True,Common Prize
aberrant-afterthought151,Level 7,False,Rare Prize
vivacious-bait536,Level 6,False,Common Prize
wretched-cart637,Level 10,True,Common Prize
zealous-cabbage77,Level 21,False,Rare Prize
hollow-bait769,Level 14,True,Rare Prize
tall-cart745,Level 19,True,Legendary Prize
vivacious-apparatus43,Level 20,True,Rare Prize
plastic-afterthought250,Level 23,False,Common Prize
glib-cart503,Level 20,False,Rare Prize
responsible-advice940,Level 23,True,Common Prize
zealous-answer832,Level 8,False,Common Prize
stupendous-canvas458,Level 14,False,Rare Prize
redundant-ball989,Level 7,False,Rare Prize
hollow-air854,Level 15,True,Common Prize
salty-canvas940,Level 22,True,Rare Prize
sore-answer311,Level 18,False,Common Prize
redundant-bottle116,Level 14,True,Rare Prize
wistful-canvas589,Level 9,True,Rare Prize
well-off-afterthought469,Level 27,True,Rare Prize
redundant-bead6,Level 6,False,Common Prize
witty-cast223,Level 7,False,Rare Prize
hollow-dime537,Level 27,False,Rare Prize
aberrant-credit283,Level 22,False,Rare Prize
shocking-cast106,Level 13,True,Rare Prize
quixotic-cart363,Level 13,False,Rare Prize
stupendous-afterthought796,Level 21,True,Rare Prize
redundant-ball989,Level 9,False,Rare Prize
sore-carriage679,Level 8,True,Common Prize
fierce-channel356,Level 5,True,Common Prize
sore-carriage679,Level 13,False,Rare Prize
redundant-cast954,Level 19,True,Legendary Prize
wistful-advice169,Level 22,False,Rare Prize
volatile-building910,Level 20,True,Rare Prize
sore-camera90,Level 29,False,Rare Prize
glorious-building422,Level 5,True,Common Prize
quixotic-cart363,Level 27,False,Rare Prize
glorious-bead746,Level 5,False,Common Prize
well-off-camera620,Level 27,False,Rare Prize
stupendous-ball306,Level 7,True,Rare Prize
well-off-cup317,Level 18,True,Common Prize
salty-canvas940,Level 28,False,Common Prize
salty-bait960,Level 27,True,Rare Prize
vivacious-apparatus43,Level 7,True,Rare Prize
wonderful-advice544,Level 29,False,Rare Prize
responsible-education541,Level 14,True,Rare Prize
glorious-dust939,Level 20,False,Rare Prize
witty-apparatus559,Level 19,False,Legendary Prize
shocking-development368,Level 14,True,Rare Prize
hollow-attack603,Level 9,False,Rare Prize
plastic-dinner508,Level 14,True,Rare Prize
fierce-deer869,Level 9,True,Rare Prize
glorious-building422,Level 29,False,Rare Prize
aberrant-cabbage504,Level 21,True,Rare Prize
stupendous-cheese652,Level 2,False,Common Prize
aberrant-current175,Level 25,True,Rare Prize
hollow-current204,Level 23,False,Common Prize
redundant-camera167,Level 5,True,Common Prize
stupendous-cheese652,Level 11,True,Common Prize
hollow-craft478,Level 22,True,Rare Prize
hollow-dime829,Level 14,False,Rare Prize
tall-bait330,Level 13,False,Rare Prize
volatile-discussion917,Level 3,False,Common Prize
volatile-dust970,Level 28,True,Common Prize
hollow-bottle150,Level 13,False,Rare Prize
glib-ball394,Level 12,True,Rare Prize
sudden-channel656,Level 27,True,Rare Prize
aberrant-canvas533,Level 24,False,Rare Prize
shocking-cabbage542,Level 4,True,Common Prize
bent-calculator500,Level 23,False,Common Prize
salty-canvas940,Level 14,True,Rare Prize
tall-cart745,Level 23,False,Common Prize
well-off-camera620,Level 22,False,Rare Prize
zealous-answer832,Level 30,False,Legendary Prize
hollow-current204,Level 24,True,Rare Prize
stupendous-direction447,Level 22,True,Rare Prize
wretched-cart637,Level 19,True,Legendary Prize
quixotic-cast184,Level 20,True,Rare Prize
tall-bead458,Level 23,True,Common Prize
vivacious-advice329,Level 6,False,Common Prize
incandescent-development104,Level 26,True,Rare Prize
salty-bait99,Level 21,False,Rare Prize
wary-air779,Level 6,False,Common Prize
shocking-cabbage542,Level 16,True,Common Prize
redundant-direction341,Level 13,False,Rare Prize
glorious-education927,Level 22,False,Rare Prize
quixotic-dirt254,Level 15,True,Common Prize
fierce-deer869,Level 29,False,Rare Prize
hollow-bait769,Level 8,True,Common Prize
glorious-building422,Level 7,False,Rare Prize
wary-art863,Level 7,False,Rare Prize
shocking-craft230,Level 2,False,Common Prize
hollow-deer227,Level 6,False,Common Prize
stupendous-cheese652,Level 20,True,Rare Prize
hollow-channel522,Level 26,False,Rare Prize
salty-bait960,Level 16,False,Common Prize
shocking-cast106,Level 4,False,Common Prize
hollow-development818,Level 24,True,Rare Prize
plastic-answer911,Level 9,True,Rare Prize
aberrant-cabbage504,Level 9,False,Rare Prize
witty-apparatus620,Level 23,True,Common Prize
glorious-dust939,Level 29,False,Rare Prize
glorious-education927,Level 3,True,Common Prize
sore-answer311,Level 2,True,Common Prize
sudden-canvas472,Level 18,False,Common Prize
volatile-dust970,Level 4,False,Common Prize
hollow-craft478,Level 15,True,Common Prize
wonderful-bait44,Level 21,False,Rare Prize
hollow-air854,Level 1,True,Rare Prize
wistful-advice169,Level 3,False,Common Prize
tall-cup442,Level 9,False,Rare Prize
sudden-cattle817,Level 18,False,Common Prize
shocking-development368,Level 16,True,Common Prize
sudden-cattle817,Level 14,False,Rare Prize
zealous-direction22,Level 12,True,Rare Prize
quixotic-current580,Level 1,True,Rare Prize
well-off-cast200,Level 8,False,Common Prize
redundant-credit74,Level 30,True,Legendary Prize
quixotic-dirt254,Level 2,False,Common Prize
bent-calculator500,Level 20,True,Rare Prize
aberrant-current175,Level 24,True,Rare Prize
sore-art510,Level 5,False,Common Prize
vivacious-deer925,Level 25,False,Rare Prize
incandescent-cast378,Level 29,True,Rare Prize
vivacious-attack680,Level 5,False,Common Prize
glorious-development98,Level 7,False,Rare Prize
glorious-development98,Level 6,True,Common Prize
past-bottle13,Level 27,False,Rare Prize
wistful-apparatus615,Level 15,True,Common Prize
wary-attack73,Level 6,False,Common Prize
hollow-deer227,Level 7,True,Rare Prize
fierce-deer869,Level 29,True,Rare Prize
glorious-cheese21,Level 18,True,Common Prize
wistful-animal921,Level 24,True,Rare Prize
plastic-answer911,Level 21,True,Rare Prize
zealous-direction22,Level 22,True,Rare Prize
glib-bottle405,Level 24,False,Rare Prize
plastic-dinner508,Level 5,False,Common Prize
glib-air1,Level 21,False,Rare Prize
redundant-bead6,Level 1,False,Rare Prize
stupendous-cheese652,Level 24,True,Rare Prize
past-chess681,Level 27,True,Rare Prize
redundant-ball989,Level 25,False,Rare Prize
bent-credit188,Level 2,False,Common Prize
salty-cast115,Level 13,False,Rare Prize
tense-current749,Level 19,True,Legendary Prize
hollow-chess205,Level 20,True,Rare Prize
quixotic-bottle689,Level 12,False,Rare Prize
glorious-damage921,Level 16,True,Common Prize
incandescent-attack565,Level 9,True,Rare Prize
wretched-direction504,Level 10,False,Common Prize
aberrant-attack550,Level 23,True,Common Prize
stupendous-ball306,Level 24,False,Rare Prize
glib-ball394,Level 10,True,Common Prize
glorious-development98,Level 25,False,Rare Prize
glorious-dinner437,Level 6,True,Common Prize
shocking-bead400,Level 9,False,Rare Prize
wistful-bait463,Level 17,False,Common Prize
tall-bait330,Level 9,False,Rare Prize
hollow-bottle150,Level 30,False,Legendary Prize
witty-apparatus620,Level 1,False,Rare Prize
glorious-education687,Level 18,True,Common Prize
hollow-discussion316,Level 1,True,Rare Prize
quixotic-cheese223,Level 20,False,Rare Prize
wary-direction54,Level 30,True,Legendary Prize
glorious-education927,Level 9,False,Rare Prize
bent-bead896,Level 18,True,Common Prize
wary-credit390,Level 7,True,Rare Prize
plastic-afterthought250,Level 23,True,Common Prize
wonderful-advice544,Level 1,True,Rare Prize
past-damage236,Level 6,True,Common Prize
redundant-bead6,Level 19,False,Legendary Prize
quixotic-cast184,Level 25,True,Rare Prize
salty-bait960,Level 30,False,Legendary Prize
hollow-development818,Level 29,True,Rare Prize
redundant-direction341,Level 21,False,Rare Prize
glorious-dust939,Level 6,True,Common Prize
wary-attack73,Level 26,False,Rare Prize
fierce-advice731,Level 8,True,Common Prize
plastic-answer911,Level 23,False,Common Prize
past-chess681,Level 27,False,Rare Prize
hollow-afterthought131,Level 9,True,Rare Prize
bent-credit123,Level 12,True,Rare Prize
vivacious-deer962,Level 5,False,Common Prize
redundant-crook375,Level 3,True,Common Prize
incandescent-cast378,Level 24,True,Rare Prize
salty-cable494,Level 21,True,Rare Prize
well-off-afterthought469,Level 3,False,Common Prize
tall-calculator104,Level 7,False,Rare Prize
responsible-development185,Level 24,False,Rare Prize
vivacious-deer962,Level 24,False,Rare Prize
bent-credit123,Level 3,False,Common Prize
past-damage236,Level 9,False,Rare Prize
wistful-development755,Level 9,True,Rare Prize
hollow-direction32,Level 17,False,Common Prize
salty-cricket638,Level 25,False,Rare Prize
glib-cart729,Level 7,True,Rare Prize
glorious-education687,Level 8,False,Common Prize
redundant-ball989,Level 5,False,Common Prize
volatile-dirt33,Level 8,False,Common Prize
hollow-deer227,Level 25,False,Rare Prize
vivacious-cup539,Level 28,False,Common Prize
wary-current657,Level 23,True,Common Prize
wonderful-direction158,Level 29,False,Rare Prize
volatile-dust970,Level 23,True,Common Prize
volatile-dust970,Level 5,True,Common Prize
vivacious-cattle71,Level 10,False,Common Prize
responsible-education132,Level 23,False,Common Prize
wretched-direction504,Level 28,True,Common Prize
responsible-development185,Level 25,True,Rare Prize
sudden-education415,Level 9,True,Rare Prize
aberrant-cattle337,Level 17,True,Common Prize
plastic-damage514,Level 6,False,Common Prize
hollow-development818,Level 17,True,Common Prize
shocking-cast106,Level 30,True,Legendary Prize
wary-art863,Level 16,False,Common Prize
vivacious-deer925,Level 13,False,Rare Prize
incandescent-canvas721,Level 10,False,Common Prize
aberrant-deer94,Level 19,True,Legendary Prize
hollow-attack603,Level 17,True,Common Prize
tense-current749,Level 19,True,Legendary Prize
wretched-cart637,Level 16,True,Common Prize
past-bottle13,Level 23,False,Common Prize
sore-carriage679,Level 18,True,Common Prize
wary-current657,Level 13,False,Rare Prize
wonderful-advice544,Level 5,False,Common Prize
redundant-direction341,Level 16,False,Common Prize
past-bottle13,Level 27,False,Rare Prize
responsible-dinner444,Level 6,True,Common Prize
aberrant-carriage344,Level 11,True,Common Prize
redundant-crook375,Level 9,False,Rare Prize
stupendous-education796,Level 10,False,Common Prize
wistful-apparatus615,Level 1,False,Rare Prize
sore-bottle945,Level 8,False,Common Prize
stupendous-canvas458,Level 11,True,Common Prize
wistful-development755,Level 17,True,Common Prize
zealous-answer832,Level 8,False,Common Prize
plastic-answer911,Level 9,False,Rare Prize
glorious-development98,Level 20,True,Rare Prize
glorious-damage921,Level 9,False,Rare Prize
tall-bead458,Level 18,True,Common Prize
plastic-damage514,Level 30,True,Legendary Prize
wary-cattle953,Level 18,False,Common Prize
sore-answer311,Level 27,False,Rare Prize
wary-cattle953,Level 18,False,Common Prize
stupendous-direction447,Level 6,False,Common Prize
wistful-celery592,Level 15,False,Common Prize
glib-ball394,Level 22,True,Rare Prize
past-bottle13,Level 22,False,Rare Prize
bent-calculator500,Level 14,True,Rare Prize
aberrant-cattle337,Level 30,False,Legendary Prize
hollow-chess205,Level 7,True,Rare Prize
shocking-dirt958,Level 4,True,Common Prize
bent-bead896,Level 7,True,Rare Prize
well-off-afterthought469,Level 24,True,Rare Prize
aberrant-cabbage504,Level 11,True,Common Prize
plastic-afterthought250,Level 5,False,Common Prize
zealous-apparatus778,Level 26,True,Rare Prize
fierce-deer869,Level 18,False,Common Prize
sudden-building244,Level 27,False,Rare Prize
tall-bait330,Level 19,True,Legendary Prize
stupendous-current947,Level 8,True,Common Prize
quixotic-dirt254,Level 26,False,Rare Prize
wretched-direction504,Level 24,True,Rare Prize
wonderful-direction158,Level 1,False,Rare Prize
tense-current749,Level 18,True,Common Prize
vivacious-cup539,Level 1,False,Rare Prize
stupendous-ball306,Level 16,False,Common Prize
tall-bait330,Level 12,True,Rare Prize
hollow-bottle150,Level 5,True,Common Prize
plastic-dinner508,Level 11,True,Common Prize
wary-air779,Level 30,True,Legendary Prize
salty-bait960,Level 22,True,Rare Prize
glorious-education687,Level 17,True,Common Prize
bent-calculator500,Level 21,True,Rare Prize
glorious-dirt898,Level 4,False,Common Prize
sudden-cattle817,Level 9,True,Rare Prize
stupendous-education369,Level 11,True,Common Prize
aberrant-attack550,Level 8,False,Common Prize
bent-bead896,Level 17,True,Common Prize
tall-bait330,Level 6,True,Common Prize
bent-calculator500,Level 11,True,Common Prize
salty-bait99,Level 6,True,Common Prize
hollow-craft478,Level 22,False,Rare Prize
glib-cart503,Level 19,False,Legendary Prize
tense-current749,Level 1,True,Rare Prize
wonderful-bait44,Level 5,False,Common Prize
glib-air1,Level 11,True,Common Prize
wistful-celery592,Level 16,True,Common Prize
fierce-advice731,Level 26,True,Rare Prize
wary-attack73,Level 19,False,Legendary Prize
well-off-cup317,Level 23,False,Common Prize
aberrant-cattle337,Level 29,True,Rare Prize
glorious-bead746,Level 29,False,Rare Prize
aberrant-current175,Level 21,False,Rare Prize
hollow-chess205,Level 30,False,Legendary Prize
fierce-deer869,Level 6,True,Common Prize
sudden-canvas472,Level 29,False,Rare Prize
vivacious-cup539,Level 8,False,Common Prize
redundant-crook375,Level 4,True,Common Prize
wonderful-bait44,Level 14,True,Rare Prize
glib-air1,Level 9,True,Rare Prize
hollow-air854,Level 16,True,Common Prize
volatile-cricket73,Level 28,False,Common Prize
glib-ball394,Level 22,False,Rare Prize
salty-cricket638,Level 12,True,Rare Prize
wary-air779,Level 30,True,Legendary Prize
sore-bottle945,Level 11,True,Common Prize
shocking-cast106,Level 26,False,Rare Prize
vivacious-deer925,Level 9,True,Rare Prize
responsible-carriage673,Level 12,True,Rare Prize
hollow-dime537,Level 8,True,Common Prize
tense-current749,Level 23,True,Common Prize
tall-cart745,Level 2,True,Common Prize
salty-canvas940,Level 12,True,Rare Prize
quixotic-cast184,Level 28,True,Common Prize
vivacious-advice329,Level 21,True,Rare Prize
well-off-cup317,Level 24,True,Rare Prize
wretched-direction504,Level 3,False,Common Prize
well-off-cast200,Level 18,True,Common Prize
plastic-dinner508,Level 1,True,Rare Prize
wretched-cart637,Level 10,True,Common Prize
glorious-cheese21,Level 10,False,Common Prize
sudden-building244,Level 19,True,Legendary Prize
sore-art510,Level 11,True,Common Prize
bent-credit188,Level 19,False,Legendary Prize
glorious-cheese21,Level 6,False,Common Prize
aberrant-credit283,Level 17,False,Common Prize
well-off-camera620,Level 1,True,Rare Prize
bent-credit188,Level 13,False,Rare Prize
shocking-cabbage542,Level 30,True,Legendary Prize
stupendous-dust197,Level 25,False,Rare Prize
incandescent-air398,Level 17,False,Common Prize
glib-air1,Level 27,True,Rare Prize
hollow-cricket577,Level 4,True,Common Prize
vivacious-air780,Level 10,False,Common Prize
responsible-development200,Level 2,False,Common Prize
past-coat945,Level 8,True,Common Prize
sudden-cattle817,Level 12,True,Rare Prize
shocking-development368,Level 15,False,Common Prize
stupendous-current947,Level 20,True,Rare Prize
glorious-coat266,Level 15,False,Common Prize
responsible-dinner444,Level 24,True,Rare Prize
bent-calculator500,Level 24,True,Rare Prize
tall-cup865,Level 25,False,Rare Prize
incandescent-attack565,Level 27,False,Rare Prize
stupendous-current947,Level 19,False,Legendary Prize
hollow-channel522,Level 22,False,Rare Prize
glorious-damage921,Level 26,True,Rare Prize
quixotic-cart363,Level 27,False,Rare Prize
hollow-channel522,Level 11,False,Common Prize
hollow-attack603,Level 13,True,Rare Prize
salty-cast115,Level 1,False,Rare Prize
stupendous-ball306,Level 20,False,Rare Prize
hollow-cricket577,Level 24,True,Rare Prize
wary-building641,Level 5,True,Common Prize
stupendous-dust197,Level 21,True,Rare Prize
aberrant-carriage344,Level 4,True,Common Prize
quixotic-cast184,Level 25,True,Rare Prize
vivacious-cattle71,Level 18,False,Common Prize
shocking-chess994,Level 30,False,Legendary Prize
hollow-chess205,Level 17,True,Common Prize
volatile-discussion917,Level 26,True,Rare Prize
sore-carriage679,Level 27,False,Rare Prize
